"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110"
"13",10,10,12,12,12,10,10,12,10,12,12,10,0,10,12,8,10,12,14,14,14,6,14,18,14,12,14,14,18,16,10,16,16,6,10,14,2,10,14,12,18,16,4,12,4,12,12,16,14,16,16,14,14,14,8,8,12,12,14,8,10,8,6,14,10,8,12,8,14,8,10,12,16,20,16,14,16,12,12,18,12,18,16,16,16,6,14,16,12,12,14,6,22,20,12,18,16,16,4,6,6,6,8,6,8,4,8,8,4,4
"14",12,10,12,10,12,10,12,12,12,10,10,12,10,0,12,8,8,8,14,14,12,6,12,14,12,14,12,12,18,18,6,12,14,6,8,16,6,12,12,16,18,18,4,14,10,12,8,14,14,18,14,14,8,14,6,6,4,12,14,10,8,18,8,16,8,12,10,8,16,10,12,14,16,20,18,18,16,14,14,18,14,20,14,16,18,8,16,14,12,10,14,12,18,20,12,10,14,6,6,6,6,8,6,4,4,6,4,4,2,4
"15",12,12,12,12,10,12,10,12,12,12,12,12,12,12,0,6,14,10,12,12,14,4,12,18,14,14,14,10,16,18,10,12,16,12,12,14,4,20,14,16,16,18,4,12,8,14,12,16,16,16,14,12,6,12,8,8,6,10,12,12,10,16,6,16,10,12,12,10,14,6,10,14,14,18,18,18,14,18,14,16,14,20,14,14,18,2,14,16,10,12,14,10,18,20,6,16,16,2,8,4,4,2,6,6,2,8,6,2,6,6
"16",10,10,12,12,4,8,8,6,6,10,6,6,8,8,6,0,10,10,14,14,12,8,6,16,14,14,16,14,16,18,8,16,16,8,12,16,10,16,14,14,18,18,8,14,6,14,14,14,16,16,16,14,6,12,8,6,10,10,14,16,10,12,4,14,8,10,12,8,16,10,6,12,14,20,18,18,14,18,14,18,14,20,14,14,16,8,16,14,12,10,10,8,22,18,12,18,16,4,6,8,6,4,6,2,10,6,6,4,6,6
"17",8,6,8,12,10,8,12,12,12,10,8,10,10,8,14,10,0,6,12,12,14,4,14,16,12,14,16,14,18,18,4,14,16,12,22,14,6,14,14,10,16,18,2,12,12,14,12,16,6,14,16,12,10,14,14,8,10,8,12,14,10,14,8,14,10,8,12,10,16,10,6,14,16,18,16,18,12,16,12,16,14,18,14,16,18,12,16,16,10,12,12,8,22,20,8,8,14,6,8,6,4,4,6,4,6,4,4,6,6,4
"18",14,12,12,6,14,6,16,12,8,10,4,6,12,8,10,10,6,0,14,14,14,10,6,16,14,14,14,24,16,18,6,16,14,14,14,16,10,16,12,14,18,18,6,14,8,12,10,16,12,16,10,14,6,14,10,6,2,12,14,10,6,14,10,16,10,6,12,8,16,16,8,14,14,18,16,16,16,18,14,18,12,18,16,14,18,16,16,14,12,12,14,8,20,20,12,16,12,4,6,6,6,6,6,6,2,2,6,4,6,8
"19",10,14,20,18,14,18,14,18,16,16,16,14,14,14,12,14,12,14,0,12,14,6,16,16,12,14,12,12,18,18,2,16,14,12,16,14,12,14,12,12,18,18,4,14,12,12,12,16,8,14,6,14,8,14,14,8,4,12,14,8,8,10,10,14,10,4,10,10,16,16,6,14,16,18,18,16,16,16,12,18,12,20,14,16,18,16,16,16,10,12,12,16,18,20,10,18,16,4,4,4,6,6,6,6,6,6,6,6,6,6
"20",14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,14,12,0,14,10,12,14,14,14,14,18,18,18,6,16,16,10,14,16,10,16,14,8,18,18,2,14,10,14,14,16,12,16,10,14,8,12,12,6,6,12,14,14,10,10,8,16,10,12,10,10,14,12,10,14,16,20,16,18,16,18,14,18,14,18,16,16,18,12,14,16,10,12,14,16,22,20,10,16,16,4,4,6,6,6,4,6,8,4,6,6,6,6
"21",14,12,14,14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,14,14,0,12,8,14,12,12,14,16,16,16,4,14,14,12,16,16,8,14,12,6,18,16,6,12,10,12,14,14,12,16,12,14,6,12,12,8,4,10,14,10,8,8,6,16,8,8,12,10,14,16,10,12,16,18,18,18,16,18,14,18,14,20,14,16,16,16,14,16,12,10,14,16,20,18,12,16,14,6,6,4,4,6,4,6,6,4,4,4,4,6
"22",14,14,14,12,12,14,14,8,8,6,2,10,6,6,4,8,4,10,6,10,12,0,10,12,14,12,10,18,18,16,4,16,16,14,16,16,10,16,14,2,16,16,8,12,2,14,12,14,12,16,8,12,8,14,6,8,12,12,12,14,10,10,8,16,8,10,10,6,16,10,8,12,16,18,18,18,14,18,14,16,14,20,16,16,16,10,16,14,12,10,14,14,20,20,8,18,16,4,6,4,2,6,6,4,6,6,8,8,6,4
"23",10,8,12,12,12,10,8,10,10,8,14,10,14,12,12,6,14,6,16,12,8,10,0,14,12,14,8,18,16,18,4,14,16,14,16,14,12,16,14,6,16,18,20,14,12,14,10,16,10,16,8,12,6,12,14,8,18,10,12,10,10,8,2,16,10,8,10,8,16,16,6,14,14,20,16,16,14,16,14,16,12,18,16,14,18,16,16,14,6,12,14,16,22,20,12,18,16,4,6,6,4,4,6,6,6,2,6,2,2,6
"24",6,6,12,8,10,10,6,10,14,20,18,14,18,14,18,16,16,16,16,14,14,12,14,0,14,14,4,18,18,18,6,16,16,12,18,14,12,16,14,8,18,18,12,12,4,12,12,16,10,14,12,14,2,14,6,6,16,12,14,16,10,10,6,14,10,10,6,10,16,14,6,12,16,20,18,14,16,16,12,18,12,20,16,16,16,14,16,16,2,12,12,16,22,18,10,18,16,2,2,6,8,4,6,4,6,6,4,4,4,6
"25",12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,14,12,14,12,14,0,6,8,20,16,4,2,16,16,10,18,16,10,14,14,8,18,4,10,14,14,14,12,16,14,14,12,14,2,14,16,6,12,10,14,8,10,10,4,16,10,6,8,8,14,10,6,6,14,18,16,18,16,16,12,18,14,18,12,14,2,10,14,14,8,12,12,16,22,16,10,16,16,6,2,4,6,2,4,4,4,6,8,6,4,2
"26",14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,14,14,14,14,14,12,12,14,14,6,0,10,20,18,6,8,16,14,12,18,14,8,14,12,8,18,6,12,14,10,12,8,14,14,16,12,14,6,12,12,8,16,10,14,12,8,10,8,14,8,16,10,10,14,12,6,6,16,18,18,16,16,18,14,18,12,18,14,16,10,12,14,16,20,10,10,16,16,20,8,18,8,4,4,2,6,4,4,6,6,6,10,8,6,6
"27",2,6,4,8,10,6,8,8,14,10,14,16,14,12,14,16,16,14,12,14,14,10,8,4,8,10,0,20,16,4,6,16,16,12,16,16,10,12,14,10,16,4,14,14,6,14,12,14,12,16,10,12,8,14,8,6,12,12,12,14,8,10,8,16,8,16,14,10,16,12,8,10,16,20,16,18,14,16,14,16,14,18,16,16,6,12,16,16,12,10,14,14,22,20,10,18,14,6,6,2,10,4,6,2,6,4,8,6,6,4
"28",10,10,12,8,10,12,6,10,10,10,16,8,14,12,10,14,14,24,12,18,16,18,18,18,20,20,20,0,18,2,1e-09,14,14,8,16,16,10,14,12,6,16,6,12,14,8,12,8,16,8,16,8,12,12,12,10,8,16,12,12,8,6,8,6,16,10,12,12,10,14,12,6,8,14,18,18,16,12,18,14,16,14,20,14,16,6,10,14,16,10,12,14,16,18,18,10,16,16,6,6,4,4,6,4,8,4,6,8,6,6,4
"29",18,18,16,18,16,18,18,18,18,16,16,18,18,18,16,16,18,16,18,18,16,18,16,18,16,18,16,18,0,6,4,14,16,10,14,16,6,12,14,8,18,8,10,12,6,14,12,14,12,14,10,14,14,12,4,8,14,10,14,6,10,8,10,14,8,16,8,10,16,12,8,4,16,20,16,16,16,16,12,18,12,18,16,16,8,10,16,16,12,10,14,16,22,20,2,18,6,6,4,4,6,4,6,2,4,4,10,8,6,6
"30",18,18,16,16,18,16,18,18,18,18,16,18,16,18,18,18,18,18,18,18,16,16,18,18,4,6,4,2,6,0,6,16,16,6,16,16,12,14,14,10,16,6,14,14,6,12,10,16,10,14,10,12,12,12,2,8,12,8,12,12,10,10,10,16,10,10,6,8,16,10,4,4,16,20,18,16,14,16,12,16,14,18,16,16,2,8,16,14,14,12,12,14,20,20,8,18,14,6,4,6,6,6,6,4,4,4,10,6,2,4
"31",6,4,8,10,8,10,10,12,10,8,14,12,10,6,10,8,4,6,2,6,4,4,4,6,2,8,6,1e-09,4,6,0,16,16,10,14,14,8,14,14,4,18,8,12,12,8,14,10,16,6,16,8,14,8,14,12,8,12,2,14,12,10,10,2,16,10,16,12,8,14,12,8,6,16,20,18,16,16,18,14,18,12,20,16,16,8,10,14,16,12,12,14,12,20,20,4,18,16,6,6,4,8,8,6,6,6,8,10,6,6,6
"32",6,10,2,8,6,4,8,8,22,10,12,10,16,12,12,16,14,16,16,16,14,16,14,16,16,16,16,14,14,16,16,0,16,8,16,16,12,14,14,8,18,8,14,14,6,14,8,14,10,14,14,14,8,12,8,6,10,4,14,4,8,10,8,16,8,14,8,6,16,10,8,2,16,20,18,18,14,16,12,18,14,20,16,16,12,8,16,14,10,10,12,16,22,20,6,14,14,6,4,8,4,4,6,4,4,2,8,8,4,6
"33",16,14,14,16,14,16,16,14,16,14,16,14,16,14,16,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,16,16,0,8,16,14,10,14,14,10,16,10,14,14,8,14,12,16,6,16,10,12,10,12,8,8,12,2,12,6,10,8,8,16,10,10,12,10,14,12,18,8,14,18,16,16,14,18,14,16,12,18,14,14,18,10,14,16,14,12,14,16,18,14,20,18,14,8,6,4,2,2,6,4,8,6,10,8,6,4
"34",16,16,16,14,14,16,16,4,6,6,8,4,6,6,12,8,12,14,12,10,12,14,14,12,10,12,12,8,10,6,10,8,8,0,16,16,10,12,14,10,18,8,14,14,8,12,6,14,10,16,14,14,8,14,10,6,12,8,14,8,8,8,6,14,8,12,8,10,14,12,14,8,14,20,16,18,14,18,14,18,14,18,14,14,16,10,14,16,12,10,12,14,22,18,20,12,16,6,6,2,4,8,4,4,2,2,10,8,6,6
"35",8,10,6,12,10,4,8,8,8,14,6,12,10,8,12,12,22,14,16,14,16,16,16,18,18,18,16,16,14,16,14,16,16,16,0,16,6,12,14,14,16,6,12,14,4,12,14,16,8,14,12,12,12,14,4,8,10,6,12,6,10,10,8,14,8,12,14,10,14,12,10,4,16,18,18,16,14,14,12,16,12,20,12,16,12,10,14,16,14,12,12,16,20,20,20,18,16,6,8,10,6,4,6,6,4,4,8,4,8,8
"36",16,14,14,16,16,16,14,14,16,14,16,16,14,16,14,16,14,16,14,16,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,0,12,14,12,6,18,12,14,14,6,14,8,14,8,16,12,14,12,12,10,8,10,6,12,14,8,8,8,16,8,12,6,8,16,12,14,2,14,20,16,18,16,18,14,16,14,18,16,16,16,10,16,16,14,10,14,16,20,12,18,16,16,10,6,4,6,4,8,6,8,4,10,8,4,2
"37",16,16,16,16,16,14,14,16,16,8,4,6,2,6,4,10,6,10,12,10,8,10,12,12,10,8,10,10,6,12,8,12,10,10,6,12,0,14,12,12,16,10,12,14,12,12,6,16,6,14,6,12,10,12,14,8,8,4,12,16,8,10,2,14,10,12,10,10,14,10,12,6,4,20,18,18,14,16,12,16,14,20,16,8,12,8,14,16,14,12,14,16,18,18,20,18,14,6,4,6,2,6,6,8,2,8,10,10,4,4
"38",4,14,10,6,8,6,6,12,6,10,8,6,10,12,20,16,14,16,14,16,14,16,16,16,14,14,12,14,12,14,14,14,14,12,12,14,14,0,14,10,18,8,14,14,20,14,6,14,10,16,14,14,8,14,14,8,12,6,14,18,10,10,20,2,8,10,12,8,14,10,14,6,6,18,18,18,16,14,14,18,14,20,16,8,16,8,14,16,12,10,22,16,20,20,20,18,16,4,10,4,2,4,4,2,6,6,10,6,6,2
"39",14,12,12,14,12,14,14,12,14,12,14,12,14,12,14,14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,14,14,14,14,14,12,12,14,0,8,16,4,14,12,16,14,8,16,4,14,6,12,4,12,18,8,12,10,12,14,10,8,12,8,8,12,6,10,16,12,12,6,8,20,18,14,14,14,12,16,12,20,14,8,14,10,16,16,12,12,12,8,20,18,20,14,16,6,4,6,4,6,6,4,6,8,6,4,4,6
"40",14,6,6,8,4,8,14,10,14,14,14,12,12,16,16,14,10,14,12,8,6,2,6,8,8,8,10,6,8,10,4,8,10,10,14,6,12,10,8,0,18,8,14,12,10,14,8,16,12,16,16,14,6,14,14,8,12,12,12,18,10,10,10,10,10,10,4,8,16,12,12,4,4,20,18,16,16,18,14,16,12,20,16,2,12,10,16,14,10,12,12,14,6,18,20,18,14,8,4,6,2,8,8,4,4,6,10,2,6,6
"41",12,12,24,10,16,14,18,16,16,20,18,20,18,18,16,18,16,18,18,18,18,16,16,18,18,18,16,16,18,16,18,18,16,18,16,18,16,18,16,18,0,6,14,14,16,14,14,16,6,14,12,14,8,14,18,8,12,12,14,10,4,8,12,6,10,12,10,8,14,12,10,8,10,20,16,18,16,14,12,18,14,18,14,10,12,10,14,14,14,12,12,16,6,20,18,16,16,2,4,6,4,4,4,4,6,8,4,8,6,8
"42",18,18,16,16,18,16,18,18,18,18,16,18,16,18,18,18,18,18,18,18,16,16,18,18,4,6,4,6,8,6,8,8,10,8,6,12,10,8,4,8,6,0,12,14,14,12,4,14,4,16,8,14,10,14,8,6,10,10,14,18,6,8,14,8,8,12,10,10,14,10,12,6,6,20,18,16,16,14,14,18,12,20,16,8,10,8,14,16,14,10,16,6,6,20,20,18,16,2,6,2,6,8,4,4,8,2,10,6,2,4
"43",2,8,4,8,6,6,2,8,1e-09,10,6,2,4,4,4,8,2,6,4,2,6,8,20,12,10,12,14,12,10,14,12,14,14,14,12,14,12,14,14,14,14,12,0,8,16,14,12,14,4,16,10,12,8,14,18,6,10,8,12,16,8,8,12,10,8,12,2,10,16,10,14,4,8,18,16,18,12,18,14,16,14,18,14,6,12,8,16,16,14,10,10,14,4,20,20,12,16,6,4,4,4,4,6,6,6,6,8,8,4,6
"44",12,14,14,14,12,12,14,12,14,14,12,14,12,14,12,14,12,14,14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,14,14,14,14,14,12,12,14,14,8,0,14,12,10,16,8,16,6,12,10,12,16,8,12,8,12,12,6,10,10,14,10,12,4,6,14,12,14,8,4,18,18,18,14,18,14,16,14,20,14,10,12,10,14,2,14,12,12,16,6,18,18,16,12,4,4,6,8,6,2,6,6,8,10,8,6,8
"45",4,4,10,6,10,10,10,8,10,12,12,10,4,10,8,6,12,8,12,10,10,2,12,4,14,10,6,8,6,6,8,6,8,8,4,6,12,20,16,10,16,14,16,14,0,14,8,14,8,14,6,14,6,14,12,8,12,4,14,14,4,8,14,16,8,10,6,4,16,10,12,6,10,20,18,18,16,16,12,18,14,20,16,4,10,8,16,4,12,10,16,14,4,20,16,18,16,2,4,4,6,6,4,8,4,6,10,6,6,8
"46",16,14,16,14,14,12,14,12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,14,12,14,12,14,14,14,12,12,14,12,14,14,14,14,12,14,12,14,0,12,16,12,14,12,12,10,12,14,8,12,8,12,14,6,8,12,16,10,10,4,2,16,12,14,20,6,18,18,18,14,16,12,16,14,18,16,22,12,10,16,2,12,12,14,14,6,20,20,4,10,6,2,6,6,4,6,6,6,8,6,10,8,10
"47",14,14,14,14,14,14,12,12,14,14,4,6,12,8,12,14,12,10,12,14,14,12,10,12,12,8,12,8,12,10,10,8,12,6,14,8,6,6,8,8,14,4,12,10,8,12,0,16,2,16,8,14,10,14,14,4,10,6,14,10,6,10,14,14,10,12,12,8,16,12,12,12,6,4,18,16,16,18,14,18,12,20,4,12,10,10,16,10,14,12,16,16,18,18,20,4,16,4,2,6,8,2,4,2,8,8,10,4,4,6
"48",10,22,16,16,16,16,14,16,18,18,18,16,16,14,16,14,16,16,16,16,14,14,16,16,16,14,14,16,14,16,16,14,16,14,16,14,16,14,16,16,16,14,14,16,14,16,16,0,10,14,10,14,18,14,8,10,8,10,14,10,12,10,16,12,10,12,16,8,16,10,14,10,12,6,18,16,16,16,12,18,14,20,6,12,12,8,16,18,14,12,18,16,18,20,18,14,14,4,4,6,6,4,6,10,6,8,8,2,4,6
"49",16,16,14,16,14,16,16,16,16,16,16,16,14,14,16,16,6,12,8,12,12,12,10,10,14,14,12,8,12,10,6,10,6,10,8,8,6,10,4,12,6,4,4,8,8,12,2,10,0,16,10,14,16,12,8,10,12,10,14,8,12,8,16,12,10,12,16,12,14,12,14,12,12,6,18,14,16,16,14,18,12,20,6,12,12,10,14,14,14,12,18,16,16,20,20,14,16,4,6,6,4,6,4,4,2,8,10,2,4,6
"50",8,6,10,8,22,14,14,14,16,12,14,18,16,18,16,16,14,16,14,16,16,16,16,14,14,16,16,16,14,14,16,14,16,16,14,16,14,16,14,16,14,16,16,16,14,14,16,14,16,0,6,14,12,14,6,10,10,8,14,8,16,8,14,8,8,10,12,10,16,10,14,14,10,6,18,18,16,18,14,18,14,20,10,16,12,8,16,10,12,10,16,14,16,20,20,14,16,2,4,4,2,4,2,6,10,6,4,6,6,6
"51",16,16,16,14,16,14,16,16,16,16,16,16,16,14,14,16,16,10,6,10,12,8,8,12,12,12,10,8,10,10,8,14,10,14,12,12,6,14,6,16,12,8,10,6,6,12,8,10,10,6,0,12,16,14,8,8,12,8,12,6,14,10,16,12,10,10,16,6,14,10,14,12,8,8,16,18,14,18,14,16,14,18,2,10,12,10,14,14,10,12,18,16,16,16,20,12,12,6,6,2,6,6,4,2,2,8,8,6,4,8
"52",10,14,20,18,14,18,14,18,16,16,16,16,14,14,12,14,12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,14,12,14,12,14,14,14,12,12,14,12,14,14,14,14,12,0,12,14,6,2,10,8,14,10,10,8,14,10,8,12,10,2,16,10,12,10,12,4,16,18,14,18,14,18,14,18,8,12,10,8,16,12,14,10,16,16,18,20,20,14,16,4,4,6,4,6,4,4,4,8,10,4,6,2
"53",14,12,14,14,14,14,14,14,14,12,12,14,14,8,6,6,10,6,8,8,6,8,6,2,2,6,8,12,14,12,8,8,10,8,12,12,10,8,4,6,8,10,8,10,6,10,10,18,16,12,16,12,0,14,8,10,10,2,12,10,8,10,16,14,10,10,16,8,16,12,12,14,10,6,18,16,12,14,12,16,14,20,6,16,10,10,16,14,12,12,18,14,18,16,12,14,14,8,4,4,8,8,6,4,4,6,6,6,8,8
"54",16,14,12,12,10,14,14,12,14,12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,12,12,14,12,12,14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,12,14,14,14,14,0,8,8,10,10,14,10,12,10,16,14,10,12,14,4,14,10,14,12,10,8,18,18,16,18,14,18,14,18,4,14,12,8,14,12,14,12,18,16,18,20,18,14,16,6,6,6,4,6,6,6,6,8,2,4,6,10
"55",12,12,14,12,8,10,6,2,12,6,8,6,8,6,8,8,14,10,14,12,12,6,14,6,16,12,8,10,4,2,12,8,8,10,4,10,14,14,18,14,18,8,18,16,12,14,14,8,8,6,8,6,8,8,0,8,10,6,14,10,8,10,16,12,8,12,10,10,16,10,14,14,12,2,2,16,16,16,12,18,14,6,8,16,12,10,16,12,12,12,18,16,16,18,20,14,10,6,8,6,8,4,6,4,6,8,4,4,6,2
"56",8,8,6,6,8,8,8,6,6,8,6,8,8,6,8,6,8,6,8,6,8,8,8,6,6,8,6,8,8,8,8,6,8,6,8,8,8,8,8,8,8,6,6,8,8,8,4,10,10,10,8,2,10,8,8,0,12,8,12,8,14,10,16,10,10,10,12,10,16,12,14,16,8,6,8,18,16,18,14,16,14,6,8,18,12,10,16,10,12,12,18,16,16,20,10,12,14,6,6,2,6,10,8,4,6,8,6,4,6,6
"57",10,14,12,8,6,12,8,12,8,14,6,10,12,4,6,10,10,2,4,6,4,12,18,16,12,16,12,16,14,12,12,10,12,12,10,10,8,12,12,12,12,10,10,12,12,12,10,8,12,10,12,10,10,10,10,12,0,6,14,8,14,8,14,8,10,12,12,6,16,12,12,16,24,8,10,16,14,16,14,18,12,10,22,18,10,10,16,12,12,12,16,12,16,20,18,14,16,6,6,6,6,4,6,6,4,4,6,4,6,2
"58",10,12,10,12,12,12,8,10,12,10,12,12,12,12,10,10,8,12,12,12,10,12,10,12,10,10,12,12,10,8,2,4,2,8,6,6,4,6,10,12,12,10,8,8,4,8,6,10,10,8,8,8,2,10,6,8,6,0,14,10,10,10,14,6,10,10,10,4,16,10,12,14,8,8,8,16,16,16,14,18,12,10,10,16,10,8,16,12,12,12,16,16,16,16,20,14,16,4,4,4,4,6,2,4,4,8,4,6,6,6
"59",8,4,18,14,10,14,12,14,12,12,10,12,14,14,12,14,12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,12,12,14,12,12,14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,12,14,14,0,10,8,8,16,14,10,10,10,6,14,10,14,16,14,12,8,18,14,18,14,18,14,10,12,18,12,8,14,12,14,12,18,10,14,20,18,12,16,4,6,6,4,2,4,6,6,2,4,4,4,6
