"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186"
"13",20,22,28,26,28,20,26,22,20,22,26,14,0,20,26,24,28,26,26,30,26,24,22,26,28,30,28,26,24,28,26,26,30,30,10,18,24,24,20,24,22,32,26,14,24,24,22,28,24,24,18,26,18,20,20,24,26,16,26,26,26,22,26,20,26,20,8,22,22,18,30,26,26,20,18,18,24,22,28,32,24,12,20,14,18,22,16,10,16,18,12,14,22,18,22,18,22,14,6,24,8,24,14,14,22,24,20,24,16,12,20,26,16,16,16,16,10,16,20,18,24,20,20,18,12,14,14,18,20,12,16,28,20,18,16,16,18,24,14,26,20,26,24,12,14,26,14,16,24,26,16,24,10,14,28,24,18,12,18,12,20,14,12,14,18,12,18,12,12,12,20,18,12,18,22,16,18,18,28,18,16,14,20,16,18,20
"14",18,28,22,26,28,26,26,28,24,26,26,24,20,0,26,20,20,20,24,26,24,30,26,26,26,26,24,22,12,18,32,28,28,32,18,22,22,20,28,18,28,24,32,10,10,20,22,24,10,32,26,24,22,20,24,20,26,24,18,28,20,22,26,18,24,22,14,20,24,22,22,30,24,18,16,18,26,32,14,22,30,12,16,22,14,18,20,22,22,20,18,18,14,18,20,26,14,24,12,24,22,16,22,14,22,18,18,26,18,10,16,22,14,24,18,20,14,16,8,26,22,18,20,8,18,14,18,18,20,10,18,24,18,22,16,14,24,24,10,20,20,30,22,22,16,22,20,12,24,24,8,28,18,14,32,26,14,18,14,10,20,12,18,20,14,26,16,22,14,12,26,16,12,12,22,14,26,20,22,22,18,16,12,16,16,22
"15",26,28,24,28,20,24,26,20,20,24,30,26,26,26,0,26,20,32,24,14,28,22,30,26,22,24,24,26,18,28,26,26,26,24,28,22,24,26,26,24,22,28,32,14,24,22,20,4,24,24,28,22,20,26,16,28,30,18,24,26,22,12,30,26,28,28,24,18,28,24,26,6,22,24,24,22,22,30,22,26,28,14,18,20,22,20,8,20,18,16,12,18,18,14,28,24,14,12,22,20,18,18,20,14,22,20,14,28,8,18,16,20,18,16,22,20,12,20,24,24,28,20,20,10,16,22,22,18,30,14,18,22,20,18,14,22,12,20,14,22,20,26,24,18,16,22,14,10,28,20,10,20,18,10,28,24,20,14,20,8,14,16,18,24,14,24,18,22,18,14,24,20,14,12,10,18,22,18,14,22,14,22,12,20,20,18
"16",20,26,26,28,26,26,26,22,30,24,30,28,24,20,26,0,24,30,28,18,26,18,28,30,28,26,24,24,20,22,28,32,24,26,10,26,22,24,26,22,24,30,30,14,22,24,22,10,18,20,24,24,20,22,24,10,24,24,22,24,22,22,26,22,28,26,26,24,24,26,24,14,24,14,28,22,16,26,24,30,34,14,18,12,24,12,14,22,20,14,24,22,22,14,22,28,14,12,16,26,10,20,12,26,10,22,8,18,22,16,16,24,16,12,14,20,8,14,22,26,28,10,22,16,8,24,12,18,22,14,14,22,14,16,12,18,8,20,18,26,24,18,20,26,10,22,8,24,22,22,16,18,22,14,22,28,16,16,20,12,12,14,14,12,12,18,20,18,10,14,18,20,16,10,12,12,18,10,22,24,10,16,12,22,18,16
"17",22,28,28,24,22,24,26,20,22,26,20,26,28,20,20,24,0,28,24,10,24,18,30,24,28,18,24,30,20,32,24,26,30,22,8,16,24,20,22,14,28,24,22,12,16,22,22,18,28,26,26,16,24,26,22,14,14,24,12,22,28,24,16,24,32,20,22,26,26,20,26,14,18,20,16,22,12,18,18,20,28,18,26,18,16,20,14,20,18,16,20,10,14,12,26,30,16,20,18,28,16,20,18,22,12,24,24,28,22,10,14,24,18,10,16,16,12,14,14,22,22,14,24,12,8,20,14,12,28,18,16,20,20,24,20,22,10,12,12,24,20,24,18,14,18,20,12,22,26,18,8,20,22,10,12,26,20,18,18,12,8,22,22,16,14,20,24,22,10,22,16,14,14,14,12,6,26,16,18,22,18,12,22,20,20,24
"18",20,28,24,20,24,24,28,26,22,26,28,26,26,20,32,30,28,0,24,18,30,24,24,28,28,22,24,30,14,14,26,24,28,28,18,20,18,14,20,22,30,24,28,18,30,24,26,10,10,32,30,26,24,32,26,12,26,28,22,24,30,10,28,22,26,26,24,26,26,12,26,18,24,22,22,24,20,30,16,20,18,14,20,14,24,14,16,20,20,20,14,20,18,16,26,28,14,18,22,20,24,18,22,14,16,20,22,24,14,12,16,24,26,22,8,22,14,18,26,20,20,4,18,24,16,16,24,26,20,16,14,20,22,18,18,14,24,16,14,30,20,24,24,12,12,22,18,26,30,22,16,26,16,22,14,12,18,18,16,18,14,22,22,14,8,22,18,8,10,16,20,20,12,18,16,14,24,12,14,16,14,10,22,14,22,6
"19",24,24,20,26,24,20,24,24,22,28,20,24,26,24,24,28,24,24,0,12,18,18,24,28,26,26,30,14,26,22,28,26,22,26,22,20,16,24,20,24,22,26,26,16,26,20,22,10,16,24,24,22,26,22,20,24,24,20,28,36,28,24,24,24,26,30,24,26,20,26,20,28,22,24,20,20,16,26,22,28,18,12,14,12,16,20,22,16,20,18,18,16,20,16,22,28,12,12,22,28,26,18,22,16,8,24,20,24,14,18,18,22,20,22,18,18,16,20,22,24,26,12,26,14,12,18,10,8,18,14,20,26,22,20,18,16,16,16,8,26,22,24,20,18,8,24,22,12,26,22,16,22,20,18,16,10,18,22,8,12,14,26,18,10,18,22,18,12,16,20,22,16,12,18,18,12,18,18,20,14,18,14,16,12,8,12
"20",22,26,26,30,24,26,20,26,28,28,28,30,30,26,14,18,10,18,12,0,28,30,26,32,32,16,26,10,28,22,28,28,24,30,16,20,28,22,20,26,32,32,28,14,24,18,22,10,18,18,22,12,24,24,30,24,28,18,22,22,26,18,28,16,26,24,24,30,20,26,18,20,24,24,20,16,26,28,26,30,16,8,10,18,12,22,24,18,16,24,14,18,20,16,24,28,12,16,20,28,20,20,24,16,16,24,22,28,16,18,14,20,18,18,14,18,18,16,24,22,26,24,24,10,12,20,14,12,22,20,16,20,18,20,20,24,20,10,16,22,20,26,26,16,8,28,18,14,26,28,24,28,18,16,16,22,18,12,14,16,16,18,24,10,16,20,10,14,22,18,22,20,14,14,18,16,12,20,20,12,14,20,12,14,8,18
"21",12,18,14,16,4,10,18,12,14,6,12,26,26,24,28,26,24,30,18,28,0,24,28,26,22,26,26,14,20,26,28,26,24,28,14,20,28,20,28,16,26,22,26,12,18,26,30,14,22,30,24,16,24,20,26,24,30,24,28,26,26,26,30,26,28,30,28,24,20,12,28,22,22,22,24,20,22,22,18,28,14,14,14,12,18,16,14,16,20,14,14,18,20,14,22,12,14,16,12,24,18,24,14,20,8,28,12,24,16,20,14,22,16,20,20,12,18,16,12,30,28,22,22,16,8,22,16,14,18,18,20,22,20,18,14,18,24,16,12,20,16,26,24,22,16,22,28,16,24,26,12,24,20,22,18,18,20,18,18,10,20,24,20,12,20,16,8,10,18,20,26,16,12,20,20,22,22,18,18,12,12,14,12,10,12,12
"22",24,14,22,22,18,8,16,22,24,22,22,26,24,30,22,18,18,24,18,30,24,0,30,26,32,26,22,14,18,26,30,24,28,28,24,20,28,18,20,22,22,26,28,12,26,26,20,14,28,26,22,18,28,24,14,20,26,22,30,20,20,10,24,24,30,22,10,26,20,22,26,16,26,20,26,24,26,20,14,30,14,20,22,18,20,10,18,22,20,20,14,14,20,12,28,22,28,24,20,22,8,28,14,18,14,24,12,16,12,18,14,22,8,18,18,14,14,22,18,20,26,20,14,8,16,22,20,12,26,14,18,18,22,18,14,24,18,20,18,24,24,22,24,16,16,22,26,14,20,18,10,24,18,22,18,16,28,20,14,24,20,18,16,8,20,18,16,24,16,20,20,18,24,14,18,14,20,14,20,8,16,14,20,12,10,22
"23",26,30,16,24,30,14,26,24,28,16,24,26,22,26,30,28,30,24,24,26,28,30,0,26,22,24,24,18,30,30,26,24,30,28,20,22,26,18,22,24,28,22,24,20,24,30,26,16,30,26,26,14,24,22,4,20,20,26,28,24,20,18,20,26,20,24,26,24,20,24,28,22,26,16,22,24,26,22,28,26,12,14,22,16,20,12,14,18,18,16,12,18,20,18,28,14,28,26,16,22,8,22,18,14,14,20,20,22,22,20,22,18,16,18,10,12,14,20,16,22,22,18,18,14,12,18,14,20,14,8,18,24,20,16,4,18,24,16,18,22,18,18,20,14,10,20,18,22,24,14,16,26,18,22,20,22,24,20,20,20,12,22,14,12,18,20,16,20,20,16,18,24,24,18,16,16,24,16,26,10,18,20,22,18,14,14
"24",24,20,18,24,24,26,22,28,22,24,26,32,26,26,26,30,24,28,28,32,26,26,26,0,32,24,24,16,20,26,26,30,32,30,8,24,22,24,16,20,30,28,26,14,20,26,30,10,24,30,30,14,16,26,14,20,26,20,22,22,28,12,28,28,22,26,22,28,26,28,24,22,22,26,28,24,14,28,18,18,22,18,14,20,16,16,20,22,14,26,22,18,26,14,26,8,22,22,18,28,22,22,18,20,18,26,12,30,16,14,18,14,16,16,18,14,14,20,22,18,24,18,22,12,12,24,14,24,14,20,18,18,22,14,20,20,24,18,14,28,20,12,16,14,24,20,30,10,20,16,16,20,24,26,24,24,26,10,18,18,12,22,16,24,18,16,18,16,18,16,20,24,20,14,18,14,14,20,24,10,18,14,22,18,10,12
"25",32,32,26,28,22,28,24,28,26,26,26,20,28,26,22,28,28,28,26,32,22,32,22,32,0,24,18,12,22,28,34,28,22,18,22,22,22,28,26,20,24,24,22,18,22,24,26,8,26,26,26,14,24,22,12,20,20,20,26,24,28,24,20,28,20,16,12,28,18,14,26,16,24,28,22,28,24,26,18,30,12,18,14,12,16,18,4,22,18,24,4,16,22,18,20,20,12,24,18,18,14,18,8,20,20,28,22,22,20,18,16,24,18,16,20,12,14,14,24,26,20,16,24,16,18,20,20,22,18,16,12,20,20,12,20,16,14,10,10,14,20,10,14,24,20,20,24,12,20,10,22,26,24,18,24,20,24,18,16,8,10,22,10,26,14,16,12,12,18,16,16,12,8,20,24,10,12,20,22,14,14,16,18,14,6,8
"26",30,26,22,30,30,28,22,20,22,28,26,24,30,26,24,26,18,22,26,16,26,26,24,24,24,0,24,14,24,24,30,28,30,8,22,18,28,22,26,28,20,28,20,26,28,22,28,24,26,22,26,20,26,24,12,20,22,14,24,28,20,26,20,30,24,22,14,26,22,22,28,22,24,26,16,28,30,20,20,24,18,18,20,16,20,18,16,24,18,24,12,18,20,20,24,22,16,20,18,28,24,24,26,22,14,28,18,24,22,16,12,22,20,22,16,20,10,12,28,24,22,12,22,16,12,14,22,22,18,16,10,12,14,12,16,24,18,14,18,18,16,18,16,18,18,22,26,10,20,12,12,32,22,22,24,24,26,20,18,12,10,22,8,22,16,16,12,10,8,20,14,14,16,20,18,18,18,16,18,8,18,12,14,16,14,26
"27",28,20,32,30,30,28,28,24,26,32,24,24,28,24,24,24,24,24,30,26,26,22,24,24,18,24,0,12,26,26,28,24,22,14,24,26,22,26,24,26,24,26,26,28,16,30,26,24,16,30,24,24,28,22,14,20,24,24,24,26,20,26,26,28,20,28,20,22,22,20,22,20,24,22,22,28,8,26,22,32,22,18,20,10,16,10,20,22,16,14,24,4,26,20,26,22,12,14,18,24,20,24,20,14,18,24,22,26,24,18,12,16,22,22,24,16,12,16,16,24,18,12,22,14,18,20,24,14,26,14,10,26,14,12,10,22,18,18,18,28,16,18,10,18,18,24,28,22,26,20,12,26,22,18,22,20,24,18,20,16,16,26,18,12,16,20,16,14,16,14,20,18,12,18,14,20,20,20,22,14,20,16,8,20,22,14
"28",30,26,28,22,22,26,24,26,20,22,24,16,26,22,26,24,30,30,14,10,14,14,18,16,12,14,12,0,28,26,22,28,26,14,24,20,20,18,26,24,26,20,16,20,20,24,22,18,24,26,24,14,22,22,12,18,22,24,28,32,24,22,24,12,24,28,16,24,20,18,22,12,22,22,22,20,22,26,24,32,20,20,18,8,18,18,12,18,22,20,10,14,22,20,22,18,10,22,22,26,20,18,14,20,22,22,20,22,18,14,8,18,14,18,16,16,16,18,14,26,16,18,24,12,18,22,20,24,20,12,20,22,16,14,10,22,14,12,20,26,20,12,14,20,22,22,26,16,22,14,8,26,14,20,22,22,22,12,14,10,12,26,10,16,18,16,20,22,16,14,26,26,14,22,14,6,22,16,20,8,20,18,12,18,18,18
"29",16,12,12,16,16,12,26,24,20,18,24,30,24,12,18,20,20,14,26,28,20,18,30,20,22,24,26,28,0,30,26,28,20,8,18,18,28,28,26,30,20,28,22,22,24,24,20,22,30,28,20,20,24,26,12,18,22,24,28,22,24,22,20,18,22,24,10,22,16,26,24,20,24,16,20,26,20,24,24,28,10,24,24,14,22,24,12,18,16,20,20,16,22,22,22,8,22,26,20,28,16,20,16,22,26,18,14,20,18,16,24,18,8,14,12,14,16,4,22,24,22,16,20,10,8,16,20,24,22,10,16,26,16,16,22,26,10,16,22,24,12,16,18,18,16,24,18,18,16,18,26,24,14,18,22,16,22,16,20,20,10,22,12,12,12,18,14,14,18,16,20,18,22,22,16,10,8,10,24,12,22,18,12,20,12,22
"30",24,24,16,14,26,22,24,28,24,20,20,26,28,18,28,22,32,14,22,22,26,26,30,26,28,24,26,26,30,0,32,24,22,14,6,22,26,24,26,22,24,20,24,24,22,28,18,26,28,28,22,26,30,20,6,22,24,28,24,28,30,24,22,16,26,28,10,22,18,24,22,22,20,20,18,22,28,26,22,20,18,18,10,16,12,18,16,18,18,20,12,26,22,16,26,20,22,22,16,24,12,22,10,18,14,24,22,20,22,18,12,20,12,18,14,10,14,22,18,28,20,18,24,12,14,16,16,26,24,14,16,12,12,24,24,22,14,14,20,24,16,16,16,28,26,18,24,18,20,22,16,28,18,20,26,20,22,20,20,16,10,16,14,14,16,18,16,20,10,12,16,16,20,22,10,24,22,18,16,14,6,16,18,18,12,16
"31",30,30,30,22,28,28,22,24,28,22,20,30,26,32,26,28,24,26,28,28,28,30,26,26,34,30,28,22,26,32,0,22,26,10,8,28,26,22,24,18,32,30,26,14,24,24,18,24,24,28,18,22,28,28,24,18,26,28,24,24,26,24,28,18,18,32,22,22,18,18,26,24,22,24,24,26,10,16,16,28,22,16,18,18,4,20,20,20,20,22,26,16,20,14,30,14,26,20,16,28,24,22,16,18,20,18,24,18,22,14,14,20,20,22,16,22,10,20,16,28,20,12,18,14,18,20,18,14,24,12,14,20,18,18,20,28,12,12,22,24,20,18,18,26,22,24,32,18,26,28,18,28,12,14,20,20,26,8,20,20,14,24,12,18,10,20,16,18,16,20,16,18,20,20,14,18,18,16,14,14,6,16,16,18,6,26
"32",24,26,28,28,28,28,28,24,26,22,26,30,26,28,26,32,26,24,26,28,26,24,24,30,28,28,24,28,28,24,22,0,30,18,24,20,18,28,14,16,30,26,26,14,24,22,26,28,22,20,26,28,26,22,20,24,20,30,20,26,24,22,22,6,20,24,22,28,28,26,26,14,30,26,22,24,18,20,12,24,24,26,28,18,24,18,20,18,20,24,20,10,18,12,24,12,24,20,12,22,20,26,14,24,16,22,14,22,18,20,16,22,14,24,20,14,16,14,18,20,22,14,22,10,16,20,16,18,26,22,12,26,22,14,20,24,12,18,20,20,26,16,18,8,22,16,22,24,24,18,22,26,12,20,18,20,24,10,18,18,18,20,16,24,10,14,16,18,12,18,10,16,16,8,12,22,18,22,20,20,12,16,12,18,12,28
"33",30,26,30,30,20,22,26,22,28,28,22,28,30,28,26,24,30,28,22,24,24,28,30,32,22,30,22,26,20,22,26,30,0,12,12,22,22,26,16,26,22,24,24,20,26,22,20,12,18,24,22,22,22,24,22,18,22,28,28,24,26,22,22,8,28,34,16,24,18,22,20,20,22,16,20,26,20,24,16,26,14,20,20,20,22,22,22,16,18,20,20,12,18,20,28,16,14,16,14,26,12,28,14,12,24,22,20,24,14,16,16,20,10,16,18,12,20,14,24,12,20,14,18,8,20,18,22,18,12,12,20,16,20,18,16,6,14,12,28,22,24,22,12,16,22,28,20,28,22,24,20,26,16,22,22,16,26,18,12,20,10,28,18,18,16,20,16,22,14,14,8,20,14,16,8,26,20,18,18,20,12,16,16,20,10,16
"34",26,32,26,30,26,24,24,30,28,24,22,24,30,32,24,26,22,28,26,30,28,28,28,30,18,8,14,14,8,14,10,18,12,0,26,24,24,26,14,14,28,20,22,28,30,24,20,22,22,20,30,12,24,26,18,10,26,14,26,24,26,22,24,30,30,26,18,18,26,22,20,22,26,16,22,24,20,10,14,24,16,14,16,20,12,24,12,16,12,12,14,18,22,16,26,16,14,20,16,26,22,22,12,16,20,24,18,20,18,10,20,22,22,24,14,18,22,10,26,20,22,18,22,12,14,18,20,16,26,14,22,24,14,20,8,16,14,14,26,24,24,18,16,12,22,24,28,8,28,16,24,28,16,26,26,16,28,4,16,10,12,26,10,20,16,18,16,8,24,20,20,20,12,12,16,12,14,24,22,18,16,20,12,14,16,16
"35",12,16,12,16,14,20,22,28,16,18,22,20,10,18,28,10,8,18,22,16,14,24,20,8,22,22,24,24,18,6,8,24,12,26,0,22,20,28,16,24,26,20,18,14,26,24,22,18,16,28,18,16,26,30,18,16,24,18,26,22,32,20,24,22,26,30,24,20,18,18,20,18,28,22,24,20,22,20,20,22,16,16,20,18,18,18,18,18,18,12,24,18,26,14,22,6,18,18,16,30,16,20,18,20,12,24,30,22,8,10,22,28,24,20,12,20,24,12,22,18,20,10,18,22,18,20,22,26,12,8,20,24,16,16,10,18,12,20,24,28,14,24,14,12,16,24,22,12,28,22,24,24,10,24,28,24,16,14,20,24,10,20,20,16,8,16,22,18,22,18,22,24,14,24,22,12,12,22,16,14,10,14,18,24,8,22
"36",18,24,20,8,22,24,12,26,24,24,14,20,18,22,22,26,16,20,20,20,20,20,22,24,22,18,26,20,18,22,28,20,22,24,22,0,24,26,6,20,24,24,28,16,22,22,24,14,16,18,24,24,24,22,24,24,22,20,20,28,12,24,24,22,28,30,22,28,20,26,18,18,22,18,22,16,26,24,20,22,16,12,22,20,20,16,18,28,6,6,22,12,24,12,26,22,12,14,16,20,24,14,12,18,12,18,8,20,16,16,22,20,20,18,26,18,16,16,16,20,14,16,22,14,18,20,20,28,16,8,22,22,16,22,12,22,14,14,24,28,20,24,14,16,24,16,20,8,24,24,14,22,14,18,30,18,18,16,18,20,16,20,18,18,16,18,18,14,22,20,22,16,18,20,12,10,14,24,20,8,14,16,22,20,10,18
