"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140"
"18",20,18,20,8,4,8,6,24,18,22,18,22,18,22,20,10,18,0,16,24,16,20,16,16,18,20,12,14,16,18,18,18,18,16,10,20,20,12,18,20,18,4,16,18,16,14,16,18,16,12,8,14,12,16,16,12,10,12,22,16,16,8,12,18,14,16,14,16,18,10,10,6,20,12,12,14,12,4,22,14,14,14,16,12,18,8,10,16,14,12,14,14,8,12,14,16,10,16,18,18,18,18,16,8,10,18,12,16,10,16,4,16,14,12,14,18,12,16,20,8,18,14,10,12,14,16,18,10,12,18,8,14,14,18,10,8,20,12,12,14
"19",20,18,18,22,18,18,20,22,18,22,22,16,22,24,22,24,24,16,0,22,18,14,18,18,14,16,12,16,20,8,20,18,16,16,16,10,18,16,20,18,12,8,20,20,14,10,16,14,16,16,8,12,10,14,16,10,16,8,22,12,14,10,14,20,12,20,12,12,8,12,10,10,16,12,14,10,12,10,20,14,14,16,18,6,18,8,10,12,16,12,14,14,10,16,16,14,10,18,20,20,16,22,10,12,14,16,18,16,12,14,8,16,20,8,16,16,18,8,12,10,16,14,16,10,14,22,18,10,10,2,12,18,8,16,6,10,22,18,12,16
"20",22,24,22,18,22,20,22,18,20,22,22,20,22,16,22,20,18,24,22,0,20,22,18,18,16,14,12,16,20,16,20,16,18,20,18,10,20,20,20,16,22,18,18,20,14,14,18,6,18,16,12,16,10,8,18,16,10,8,20,10,12,16,14,18,16,14,12,6,16,12,8,14,20,8,8,14,14,16,10,16,4,16,14,16,20,10,12,18,12,12,22,12,14,16,12,12,8,12,18,20,16,12,8,8,12,12,18,14,12,16,6,18,14,10,16,10,16,18,18,2,16,16,2,10,4,20,18,4,12,20,6,16,6,12,10,2,16,18,22,8
"21",22,16,16,16,22,22,22,20,14,14,22,18,12,22,22,14,16,16,18,20,0,18,24,18,16,16,14,12,20,18,18,20,22,16,18,16,16,20,16,14,16,10,18,20,14,14,16,6,18,12,12,12,14,10,18,18,12,16,16,8,16,14,16,16,16,18,8,14,18,6,16,12,20,10,14,16,8,14,14,16,2,16,16,14,18,22,14,14,10,14,18,14,10,16,14,10,8,10,16,16,16,14,8,16,14,12,12,14,12,14,14,18,14,10,20,10,14,8,20,8,22,16,6,6,4,18,8,14,12,14,12,16,2,14,4,18,12,14,18,10
"22",20,18,22,22,24,22,24,18,20,20,16,18,16,20,20,16,20,20,14,22,18,0,16,24,16,14,18,14,20,16,20,18,18,20,16,12,20,22,18,16,22,18,20,20,12,14,18,10,16,12,8,16,12,18,14,14,20,10,20,12,14,16,14,18,16,18,10,8,16,6,14,16,20,16,14,10,10,14,14,18,18,18,20,10,16,16,8,18,12,20,20,18,6,18,14,14,4,12,20,18,14,8,8,14,16,14,16,14,14,18,10,20,14,18,22,14,12,12,10,12,20,18,10,8,14,22,8,8,16,18,12,16,10,14,12,10,16,14,18,10
"23",18,20,22,16,16,20,16,22,22,20,18,20,24,20,20,14,18,16,18,18,24,16,0,18,18,18,16,18,16,16,14,20,18,4,16,20,18,16,18,20,18,8,18,22,12,16,18,16,20,16,10,14,12,10,18,10,18,18,22,8,16,14,18,16,14,10,16,8,16,10,18,12,20,14,10,8,14,6,20,16,12,18,16,16,18,18,14,8,10,12,20,12,10,12,16,12,10,12,12,20,10,16,10,14,8,12,12,12,12,16,8,14,14,16,22,10,16,16,12,8,16,12,14,6,8,8,10,6,14,14,12,16,8,12,12,16,2,14,14,6
"24",22,20,20,18,22,18,22,24,22,20,20,16,20,24,22,20,18,16,18,18,18,24,18,0,20,16,14,16,16,20,20,20,12,18,18,12,18,18,18,16,20,6,20,14,10,18,16,12,20,14,12,10,14,14,16,12,18,10,16,12,12,12,16,16,16,16,14,16,10,4,18,20,18,12,6,10,8,10,18,12,14,12,14,14,14,20,10,20,10,18,16,16,8,14,8,12,12,6,16,6,6,12,8,14,8,14,16,14,12,10,10,16,8,16,4,12,20,16,6,10,18,14,12,8,6,12,12,16,20,20,6,12,16,12,10,18,12,12,14,4
"25",22,4,6,6,22,18,20,14,18,16,20,16,12,20,18,16,18,18,14,16,16,16,18,20,0,14,20,20,20,16,18,20,16,20,16,10,12,16,18,16,22,16,18,18,10,16,16,4,18,18,10,12,10,18,18,14,12,10,16,8,14,14,16,18,14,10,12,14,14,8,14,16,20,12,12,18,12,16,18,14,14,14,16,14,14,16,12,16,14,18,14,14,8,18,20,10,10,10,16,8,10,4,12,16,16,16,14,14,12,8,4,6,8,14,20,10,16,10,14,8,16,4,4,6,10,8,2,6,14,12,8,14,12,8,12,14,8,16,10,8
"26",18,14,20,20,20,22,18,10,18,20,20,18,18,20,16,14,18,20,16,14,16,14,18,16,14,0,18,18,22,16,16,16,14,20,14,20,16,22,14,18,14,12,16,16,12,18,12,4,16,16,12,14,8,16,18,14,12,16,22,6,18,10,16,16,18,4,12,12,12,8,10,10,18,12,6,16,4,18,18,12,12,14,16,12,16,10,10,16,12,14,16,14,12,12,16,14,8,10,8,10,10,8,8,18,12,18,12,16,14,16,6,12,18,10,10,8,16,16,12,8,22,10,6,6,12,14,14,6,16,20,10,20,16,14,8,8,12,18,4,8
"27",20,20,14,12,12,10,20,18,20,14,12,14,18,18,10,16,18,12,12,12,14,18,16,14,20,18,0,18,22,18,22,18,16,12,18,18,16,14,16,16,18,14,20,16,12,12,18,20,18,16,10,10,8,12,16,12,12,14,18,10,14,12,18,16,14,8,12,6,8,10,8,10,18,12,8,18,10,4,14,18,10,12,16,10,14,10,10,14,18,16,16,14,10,16,18,16,6,12,14,12,6,12,10,12,12,18,12,18,16,14,8,8,8,12,10,14,6,14,16,12,20,6,12,14,6,10,16,12,14,20,10,18,12,18,6,12,20,16,14,8
"28",18,18,18,16,14,12,14,14,12,12,16,12,14,16,14,18,16,14,16,16,12,14,18,16,20,18,18,0,18,20,20,16,16,20,18,18,14,12,20,14,22,18,18,14,18,20,8,16,22,16,6,14,14,14,14,8,18,14,16,12,12,8,16,6,16,4,12,18,16,10,16,14,18,14,10,12,8,8,12,16,12,12,16,12,14,16,16,16,18,14,14,14,10,8,14,12,14,12,6,10,8,8,6,8,8,14,16,18,12,8,8,8,10,16,6,10,12,16,14,12,18,10,8,10,12,8,6,16,16,16,10,14,18,14,10,16,16,14,6,8
"29",18,16,20,16,16,8,14,16,14,16,22,12,20,16,16,14,20,16,20,20,20,20,16,16,20,22,22,18,0,16,18,14,22,20,16,14,16,16,22,20,20,16,18,16,10,18,16,16,20,16,12,12,14,14,16,18,16,18,18,12,14,10,18,10,18,4,14,16,10,10,12,14,18,12,14,16,6,6,14,14,12,12,14,14,12,16,10,18,16,14,18,16,12,10,12,12,14,12,10,8,8,14,16,12,12,8,18,18,8,14,12,10,16,4,12,8,6,14,12,10,22,8,12,12,12,2,14,12,20,18,8,16,12,18,6,18,14,12,8,12
"30",14,16,16,16,14,16,16,18,8,6,22,16,20,16,20,16,20,18,8,16,18,16,16,20,16,16,18,20,16,0,14,14,12,20,18,16,20,16,18,16,22,14,14,18,12,14,14,12,20,18,10,18,10,18,20,18,18,16,18,4,14,14,16,6,18,6,8,18,12,10,18,14,12,10,14,14,10,10,14,18,12,16,16,18,14,16,14,14,16,14,14,18,10,8,12,12,14,12,6,10,10,12,14,12,12,14,16,14,10,6,12,18,20,14,10,8,6,14,18,8,14,16,10,18,8,12,6,8,14,16,14,12,14,14,16,12,16,10,6,20
"31",20,20,14,20,22,20,22,22,14,20,22,20,16,20,18,20,16,18,20,20,18,20,14,20,18,16,22,20,18,14,0,12,20,16,18,16,12,16,14,16,18,16,16,14,12,14,14,10,18,14,12,18,10,16,22,14,18,14,20,2,14,10,18,14,16,12,10,12,22,10,8,16,10,12,10,14,10,12,12,18,10,10,14,18,16,16,10,18,16,14,20,20,14,10,12,14,12,12,6,8,6,16,14,12,10,18,18,16,14,4,2,14,20,18,14,18,4,10,12,6,16,12,14,4,16,14,10,6,14,14,14,18,10,14,2,14,8,16,8,18
"32",14,14,20,20,20,18,12,12,20,16,10,20,18,12,14,14,16,18,18,16,20,18,20,20,20,16,18,16,14,14,12,0,18,14,16,16,20,16,12,16,14,16,22,12,12,16,12,12,16,14,14,18,6,14,18,18,12,16,16,12,14,10,18,8,14,8,12,10,18,12,18,10,6,12,10,10,6,12,18,14,16,10,16,18,10,16,20,16,18,18,20,20,16,14,18,8,10,12,2,4,10,6,12,14,8,10,16,14,16,14,18,18,8,8,6,18,20,12,16,8,2,16,16,2,8,8,12,12,8,18,16,16,16,14,6,8,4,8,14,16
"33",16,18,14,18,16,12,20,16,16,18,18,14,14,18,14,20,20,18,16,18,22,18,18,12,16,14,16,16,22,12,20,18,0,18,20,14,18,20,12,14,16,16,22,12,14,14,14,10,18,14,16,12,6,14,18,16,12,18,16,14,12,12,14,4,14,8,12,14,18,14,18,6,12,14,10,14,6,8,12,14,16,10,14,10,12,18,16,14,12,18,16,14,10,10,14,18,12,16,6,6,16,10,16,8,12,14,10,10,14,14,10,14,10,14,6,12,6,10,10,18,16,12,18,14,8,12,12,12,10,20,16,14,18,16,6,16,10,10,2,12
"34",18,16,20,16,20,22,20,18,18,14,18,22,20,18,16,14,16,16,16,20,16,20,4,18,20,20,12,20,20,20,16,14,18,0,16,14,20,14,20,18,18,14,20,14,18,16,12,12,20,14,12,12,16,12,16,16,14,18,18,14,14,12,12,12,14,10,14,18,10,10,16,16,8,10,12,16,8,14,20,16,14,12,12,10,8,18,12,16,8,20,20,16,10,6,16,14,8,12,14,10,12,10,14,12,10,18,14,10,14,14,14,20,14,8,10,18,18,10,18,4,10,18,14,16,12,6,12,12,4,16,12,20,12,10,10,10,4,18,8,10
"35",14,20,16,16,10,16,14,18,16,16,18,16,18,18,16,18,20,10,16,18,18,16,16,18,16,14,18,18,16,18,18,16,20,16,0,18,14,12,20,20,16,16,20,20,16,18,12,16,16,20,6,14,14,12,20,14,18,12,16,4,12,8,14,16,18,10,6,14,10,10,14,12,6,10,12,16,10,8,18,16,14,18,16,14,12,18,14,14,8,14,20,16,10,10,18,18,12,12,14,14,14,18,12,16,10,10,14,18,14,10,12,14,16,8,10,8,16,20,12,12,6,12,14,12,12,8,10,14,8,14,14,12,16,16,16,14,10,8,12,14
"36",18,16,20,18,10,8,12,18,22,16,16,14,16,18,20,12,16,20,10,10,16,12,20,12,10,20,18,18,14,16,16,16,14,14,18,0,20,18,18,14,18,14,18,14,14,20,18,10,14,16,8,20,16,14,16,16,18,16,16,6,14,14,18,10,12,6,6,10,10,12,16,14,6,12,8,12,8,8,16,16,14,10,14,10,8,14,16,18,16,16,20,16,20,8,12,14,12,14,10,12,14,16,12,14,12,14,18,12,14,6,10,18,14,10,10,4,16,16,14,10,10,16,16,8,14,12,6,18,2,12,16,14,14,20,16,6,6,10,12,6
"37",14,16,20,12,14,18,16,18,14,16,20,16,16,14,14,18,20,20,18,20,16,20,18,18,12,16,16,14,16,20,12,20,18,20,14,20,0,18,16,16,20,12,20,20,16,20,14,18,20,20,8,18,6,16,18,18,20,16,16,14,12,14,14,12,16,10,8,16,20,12,16,8,12,12,8,14,10,8,18,18,16,16,14,8,8,16,8,14,20,10,20,16,16,10,12,12,14,14,10,8,6,18,16,10,12,12,14,16,8,12,2,12,4,8,14,12,14,12,12,6,10,10,16,10,10,12,20,18,18,10,20,6,14,20,22,14,12,6,10,2
"38",14,20,20,18,22,16,18,22,18,22,16,16,16,16,14,14,20,12,16,20,20,22,16,18,16,22,14,12,16,16,16,16,20,14,12,18,18,0,16,16,14,18,22,18,14,16,10,20,18,16,10,16,14,14,22,18,16,14,14,8,10,8,14,12,16,8,8,12,14,12,18,12,10,10,14,14,6,8,20,14,10,16,16,14,10,16,16,12,18,8,18,18,12,12,10,12,10,14,6,8,12,14,8,10,4,16,14,12,10,10,12,18,12,6,10,8,18,16,8,8,14,16,20,14,12,12,12,22,6,16,16,14,18,16,10,8,10,22,8,6
"39",16,18,16,18,20,22,18,20,20,10,20,22,20,16,20,18,16,18,20,20,16,18,18,18,18,14,16,20,22,18,14,12,12,20,20,18,16,16,0,18,20,18,18,14,16,10,14,18,14,16,20,18,16,16,18,14,18,16,18,14,14,12,18,6,14,10,10,14,18,16,16,10,8,12,16,12,8,4,18,16,6,12,14,14,10,18,14,18,18,12,16,18,14,10,16,12,20,16,12,10,16,20,12,6,10,16,12,14,14,2,14,20,20,8,12,16,14,10,18,14,10,18,14,12,8,12,16,14,20,8,16,6,16,14,18,12,8,12,4,10
"40",16,16,20,14,16,22,12,14,14,16,22,16,14,22,20,22,18,20,18,16,14,16,20,16,16,18,16,14,20,16,16,16,14,18,20,14,16,16,18,0,8,14,18,16,12,16,14,14,18,10,16,10,18,14,18,12,18,18,14,14,12,16,14,12,14,14,8,12,20,12,16,8,10,10,12,16,6,8,20,14,6,14,16,10,14,12,20,16,14,14,20,10,16,10,14,16,16,12,8,8,16,16,16,8,8,10,16,18,10,10,20,14,4,6,4,12,18,14,14,16,8,12,14,14,18,4,18,18,14,10,6,16,18,14,10,8,10,20,6,12
"41",22,18,20,20,14,18,16,16,12,14,16,18,18,22,14,22,16,18,12,22,16,22,18,20,22,14,18,22,20,22,18,14,16,18,16,18,20,14,20,8,0,10,20,16,12,20,16,16,16,14,16,12,6,12,12,12,14,12,16,12,12,14,14,12,10,10,6,14,12,16,14,8,6,14,14,16,10,6,18,18,14,12,12,10,10,16,22,16,20,14,22,14,8,12,12,14,14,16,16,12,16,16,4,10,10,12,14,12,16,12,20,20,4,16,16,8,20,14,10,18,14,18,8,12,10,20,14,18,18,10,12,12,12,16,16,8,6,20,8,14
"42",10,12,14,18,4,8,14,16,12,12,14,16,12,14,14,12,12,4,8,18,10,18,8,6,16,12,14,18,16,14,16,16,16,14,16,14,12,18,18,14,10,0,18,16,10,12,14,16,18,12,14,12,10,14,14,12,16,10,20,10,14,16,16,8,12,10,14,14,12,10,16,12,10,16,10,14,12,10,16,14,18,12,14,12,12,20,20,12,16,10,24,16,16,10,16,16,10,10,12,10,16,12,10,12,8,14,16,16,12,6,16,16,8,16,12,18,18,2,14,20,16,14,10,14,14,14,4,16,14,10,8,12,12,16,14,16,4,20,18,12
"43",6,10,16,20,18,18,16,20,16,16,10,22,20,20,16,18,20,16,20,18,18,20,18,20,18,16,20,18,18,14,16,22,22,20,20,18,20,22,18,18,20,18,0,16,10,16,12,12,16,12,14,14,10,16,10,16,16,8,20,12,12,14,16,10,12,10,16,10,14,18,16,10,10,16,12,18,6,10,20,14,16,12,16,14,12,20,14,14,16,16,20,16,14,14,16,16,14,20,14,14,22,16,14,8,6,14,20,16,18,12,6,16,8,12,14,8,16,16,14,16,20,14,6,18,14,14,16,20,20,10,4,14,12,16,12,14,8,18,18,14
"44",18,16,18,20,18,16,20,18,14,16,14,18,16,18,16,18,20,18,20,20,20,20,22,14,18,16,16,14,16,18,14,12,12,14,20,14,20,18,14,16,16,16,16,0,14,20,18,10,16,8,14,14,14,8,16,14,18,8,20,10,14,6,16,18,12,6,16,12,18,14,16,8,8,12,10,18,10,10,20,18,16,12,14,12,10,18,14,20,10,10,20,16,20,16,12,10,14,16,14,10,20,12,16,8,12,22,18,14,12,12,10,20,16,2,6,8,16,14,20,10,12,18,6,20,10,16,14,14,12,14,6,18,14,18,8,10,8,20,20,20
"45",16,20,20,20,16,16,10,12,10,14,6,8,8,14,14,10,12,16,14,14,14,12,12,10,10,12,12,18,10,12,12,12,14,18,16,14,16,14,16,12,12,10,10,14,0,12,18,6,16,12,14,16,8,16,10,18,18,18,18,8,10,12,14,12,16,6,8,14,20,16,16,10,10,10,16,14,6,12,22,14,12,16,16,16,14,16,16,18,22,10,18,20,22,10,12,12,14,18,18,16,10,12,14,10,10,16,14,18,14,8,10,18,12,2,22,16,12,10,18,12,18,16,4,18,10,14,18,14,20,10,18,8,10,14,14,10,14,16,12,20
"46",16,6,6,6,6,16,14,14,18,18,18,14,14,10,20,14,14,14,10,14,14,14,16,18,16,18,12,20,18,14,14,16,14,16,18,20,20,16,10,16,20,12,16,20,12,0,18,18,14,8,10,14,8,16,10,18,18,20,18,10,14,16,16,16,12,8,6,8,20,10,16,14,14,12,14,16,16,12,20,18,18,16,16,14,12,18,22,16,18,6,22,12,20,10,14,10,16,12,16,14,10,16,12,8,10,16,18,14,10,16,18,20,10,4,20,18,16,14,16,12,8,18,16,16,18,2,22,8,20,10,8,8,8,12,8,14,4,20,18,18
"47",12,14,18,18,12,14,16,16,16,14,14,14,12,10,20,16,18,16,16,18,16,18,18,16,16,12,18,8,16,14,14,12,14,12,12,18,14,10,14,14,16,14,12,18,18,18,0,20,14,10,14,16,12,10,6,16,18,18,20,14,16,14,14,12,12,4,8,12,18,8,18,8,6,16,16,18,12,12,20,14,14,18,12,14,10,18,22,16,18,8,18,20,14,10,16,16,10,8,12,12,14,8,10,10,8,12,14,10,18,8,14,14,16,18,16,14,20,4,18,16,12,12,8,18,18,16,16,10,16,10,16,8,18,6,10,16,4,24,8,14
"48",16,18,14,14,18,10,6,8,14,12,12,16,14,14,12,14,12,18,14,6,6,10,16,12,4,4,20,16,16,12,10,12,10,12,16,10,18,20,18,14,16,16,12,10,6,18,20,0,14,12,16,16,12,20,10,10,16,18,20,14,12,10,14,8,18,8,16,10,16,8,16,12,10,14,14,14,8,6,18,10,14,12,14,14,12,18,20,16,16,4,20,18,14,20,14,14,12,8,10,6,16,10,12,10,18,10,14,12,12,8,16,14,20,10,18,12,18,12,12,12,14,12,18,16,22,14,12,8,18,16,16,2,6,12,12,16,6,20,8,16
"49",18,18,16,20,16,16,12,22,16,16,18,16,18,18,20,20,16,16,16,18,18,16,20,20,18,16,18,22,20,20,18,16,18,20,16,14,20,18,14,18,16,18,16,16,16,14,14,14,0,10,10,18,12,8,8,16,18,18,18,10,14,14,20,8,16,6,12,10,18,8,14,10,10,16,10,16,10,14,20,12,8,14,14,16,12,18,20,16,18,10,24,16,16,16,16,12,16,8,14,10,14,14,10,6,12,8,8,18,10,12,16,14,18,14,16,10,16,10,12,18,8,12,14,20,20,20,10,10,16,16,16,12,8,4,12,16,12,22,8,8
"50",14,18,14,16,18,20,18,16,16,18,18,18,20,16,18,14,16,12,16,16,12,12,16,14,18,16,16,16,16,18,14,14,14,14,20,16,20,16,16,10,14,12,12,8,12,8,10,12,10,0,6,16,12,12,8,16,18,20,22,10,14,12,16,10,20,12,16,18,14,14,18,10,10,18,6,14,12,16,16,14,20,14,12,14,14,20,16,18,20,4,16,14,22,12,12,16,10,14,10,12,14,18,10,10,12,22,14,16,16,10,14,16,14,16,22,14,14,6,14,18,16,14,18,18,18,22,12,6,14,14,14,14,6,2,12,14,18,20,6,12
"51",4,10,6,8,6,12,14,8,6,10,12,14,10,6,6,10,10,8,8,12,12,8,10,12,10,12,10,6,12,10,12,14,16,12,6,8,8,10,20,16,16,14,14,14,14,10,14,16,10,6,0,16,12,10,14,18,18,16,16,10,12,14,18,2,12,12,18,18,16,10,10,10,8,8,10,8,4,12,18,12,16,16,14,16,14,18,14,16,16,10,16,20,22,14,14,16,14,12,14,10,12,18,8,8,10,16,16,18,4,14,10,12,20,16,18,16,12,10,12,10,12,10,14,18,14,16,20,20,18,12,16,12,14,14,18,18,18,18,6,10
"52",14,10,16,14,12,16,16,12,12,14,14,14,16,12,14,12,16,14,12,16,12,16,14,10,12,14,10,14,12,18,18,18,12,12,14,20,18,16,18,10,12,12,14,14,16,14,16,16,18,16,16,0,10,8,12,16,20,16,20,14,12,10,16,12,12,10,12,14,14,12,14,6,8,12,14,14,12,12,22,14,16,16,14,16,16,16,14,14,20,10,6,18,20,16,12,12,6,14,16,12,6,14,10,10,12,20,12,16,12,10,14,10,8,6,16,14,14,6,8,14,16,8,18,10,14,10,16,10,20,16,12,10,6,10,16,14,20,22,6,12
"53",14,16,18,12,18,18,18,18,16,18,16,16,16,18,16,14,16,12,10,10,14,12,12,14,10,8,8,14,14,10,10,6,6,16,14,16,6,14,16,18,6,10,10,14,8,8,12,12,12,12,12,10,0,10,6,18,20,12,14,6,12,10,14,12,10,10,8,16,20,12,14,14,8,12,10,6,10,18,14,12,14,6,16,16,12,16,14,16,18,12,18,20,20,8,16,12,12,12,6,8,14,6,6,10,8,22,14,14,14,12,16,20,8,10,10,16,4,8,14,12,18,18,10,14,12,10,22,22,16,10,16,10,8,16,12,12,12,22,8,10
